Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,
,,-,,,,,,,1123 ± 60,278 ± 27,352 ± 28,259 ± 14,661 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,3290 ± 720,0 ± 0.0E+0,1.00E+0 ± 0,-43 ± 60,-15 ± 27,-15 ± 28,-9 ± 14,-9 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,480 ± 720,-51000000 ± 71000000,-43 ± 60,-15 ± 27,-15 ± 28,-9 ± 14,-9 ± 50,210 ± 410,410 ± 580,3.0 ± 4.2,480 ± 720,90000 ± 160000,80100 ± 5500,350 ± 580,7150 ± 530,1300000 ± 6200000,331000 ± 17000,43000 ± 82000,75900 ± 5300,350 ± 580,7150 ± 530,1300000 ± 6200000,331000 ± 17000,0.04 ± 0.53,3550 ± 220,110000 ± 200000,81500 ± 5600,430 ± 710,7360 ± 540,0 ± 0.0E+0,0 ± 0.0E+0,0.04 ± 0.53,3530 ± 220,40 ± 56,-16000000 ± 23000000,0.09 ± 0.13,0.12 ± 0.24,
,,-,,,,,,,1128 ± 63,272 ± 28,382 ± 27,273 ± 14,722 ± 47,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2777 ± 82,0 ± 0.0E+0,1.00E+0 ± 0,-40 ± 63,-22 ± 28,12 ± 27,3 ± 14,47 ± 47,-0.0000082687 ± 0.0000000020,-0.0001726092 ± 0.0000000075,-0.02350364 ± 0.00000099,-46 ± 82,20.8750 ± 0.0040,-40 ± 63,-22 ± 28,12 ± 27,3 ± 14,47 ± 47,-0.0000082687 ± 0.0000000020,-0.0001726092 ± 0.0000000075,-0.02350364 ± 0.00000099,-46 ± 82,-70000 ± 160000,84200 ± 1500,-140 ± 610,7500 ± 290,-5700000 ± 5700000,334100 ± 5300,-36000 ± 79000,79700 ± 1500,-140 ± 610,7500 ± 290,-5700000 ± 5700000,334100 ± 5300,0.3 ± 1.3,2830 ± 540,-90000 ± 200000,85600 ± 1500,-180 ± 760,7710 ± 290,0 ± 0.0E+0,0 ± 0.0E+0,0.3 ± 1.3,2820 ± 540,-0.0000046 ± 0.0000023,6.69180 ± 0.00097,-3.77E-8 ± 0,-4.83E-9 ± 0,
,,-,,,,,,,1280 ± 250,320 ± 130,420 ± 130,271 ± 33,800 ± 220,0 ± 0.0E+0,5300 ± 6700,38 ± 48,8400 ± 6500,0 ± 0.0E+0,1.00E+0 ± 0,110 ± 250,30 ± 130,50 ± 130,0 ± 33,130 ± 220,-8.29E-6 ± 0,5300 ± 6700,38 ± 48,5600 ± 6500,-640000000 ± 810000000,110 ± 250,30 ± 130,50 ± 130,0 ± 33,130 ± 220,-8.29E-6 ± 0,5300 ± 6700,38 ± 48,5600 ± 6500,-380000 ± 680000,29000 ± 58000,500 ± 1100,4300 ± 3400,-15000000 ± 27000000,324000 ± 16000,-190000 ± 340000,27000 ± 55000,500 ± 1100,4300 ± 3400,-15000000 ± 27000000,324000 ± 16000,0.19 ± 0.45,3000 ± 2300,-480000 ± 850000,29000 ± 59000,600 ± 1300,4500 ± 3500,0 ± 0.0E+0,0 ± 0.0E+0,0.19 ± 0.44,3000 ± 2300,40 ± 130,-200000000 ± 260000000,1.2 ± 1.5,-4.84E-9 ± 0,
,,-,,,,,,,1188 ± 56,318 ± 31,397 ± 55,267 ± 13,657 ± 43,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3010 ± 370,0 ± 0.0E+0,1.00E+0 ± 0,19 ± 56,24 ± 31,25 ± 55,-5 ± 13,-23 ± 43,-0.0000084078 ± 0.0000000022,180 ± 360,1.3 ± 2.6,170 ± 370,-21000000 ± 43000000,19 ± 56,24 ± 31,25 ± 55,-5 ± 13,-23 ± 43,-0.0000084078 ± 0.0000000022,180 ± 360,1.3 ± 2.6,170 ± 370,-140000 ± 320000,82300 ± 3900,210 ± 550,7350 ± 410,2800000 ± 5200000,339400 ± 3400,-70000 ± 160000,77900 ± 3700,210 ± 550,7350 ± 410,2800000 ± 5200000,339400 ± 3400,-1.3 ± 1.5,3070 ± 380,-170000 ± 390000,83600 ± 3900,260 ± 670,7560 ± 410,0 ± 0.0E+0,0 ± 0.0E+0,-1.3 ± 1.5,3060 ± 380,1.5 ± 3.0,-7000000 ± 14000000,0.039 ± 0.078,-4.87E-9 ± 0,
,,-,,,,,,,1183 ± 71,285 ± 30,457 ± 54,287 ± 15,677 ± 55,0 ± 0.0E+0,210 ± 430,1.6 ± 3.1,3110 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,13 ± 71,-10 ± 30,82 ± 54,13 ± 15,-8 ± 55,-0.0000085541 ± 0.0000000020,210 ± 430,1.5 ± 3.1,260 ± 440,-25000000 ± 50000000,13 ± 71,-10 ± 30,82 ± 54,13 ± 15,-8 ± 55,-0.0000085541 ± 0.0000000020,210 ± 430,1.5 ± 3.1,260 ± 440,-480000 ± 310000,80100 ± 6300,-560 ± 640,7200 ± 510,1000000 ± 6400000,335900 ± 4500,-240000 ± 150000,75800 ± 6000,-560 ± 640,7200 ± 510,1000000 ± 6400000,335900 ± 4500,13 ± 37,3040 ± 440,-600000 ± 380000,81500 ± 6300,-690 ± 780,7400 ± 530,0 ± 0.0E+0,0 ± 0.0E+0,13 ± 36,3090 ± 440,-1.1 ± 2.2,-8000000 ± 16000000,0.046 ± 0.093,-4.90E-9 ± 0,
,,-,,,,,,,1152 ± 69,309 ± 35,410 ± 40,279 ± 14,657 ± 44,230 ± 450,0 ± 0.0E+0,0 ± 0.0E+0,3030 ± 460,0 ± 0.0E+0,1.00E+0 ± 0,-20 ± 69,13 ± 35,32 ± 40,2 ± 14,-34 ± 44,230 ± 450,-0.0001742433 ± 0.0000000075,-0.0237202 ± 0.0000010,170 ± 460,19.76 ± 0.57,-20 ± 69,13 ± 35,32 ± 40,2 ± 14,-34 ± 44,230 ± 450,-0.0001742433 ± 0.0000000075,-0.0237202 ± 0.0000010,170 ± 460,-190000 ± 230000,80600 ± 3000,-100 ± 580,7290 ± 390,3900000 ± 5100000,312000 ± 16000,-90000 ± 110000,76100 ± 3000,-100 ± 580,7290 ± 390,3900000 ± 5100000,312000 ± 16000,-0.7 ± 1.3,3560 ± 450,-230000 ± 280000,82000 ± 3000,-120 ± 710,7500 ± 390,0 ± 0.0E+0,0 ± 0.0E+0,-0.7 ± 1.2,3550 ± 460,0.0000045 ± 0.0000034,6.40 ± 0.19,-3.76E-8 ± 0,0.13 ± 0.26,
,,-,,,,,,,1183 ± 58,293 ± 32,368 ± 25,263 ± 12,743 ± 48,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3030 ± 370,0 ± 0.0E+0,1.00E+0 ± 0,9 ± 58,-4 ± 32,-12 ± 25,-16 ± 12,47 ± 48,-0.0000088356 ± 0.0000000022,180 ± 360,1.3 ± 2.6,160 ± 370,-20000000 ± 41000000,9 ± 58,-4 ± 32,-12 ± 25,-16 ± 12,47 ± 48,-0.0000088356 ± 0.0000000022,180 ± 360,1.3 ± 2.6,160 ± 370,70000 ± 140000,79600 ± 3900,710 ± 500,7000 ± 390,-5300000 ± 5400000,316600 ± 8900,36000 ± 71000,75200 ± 3700,710 ± 500,7000 ± 390,-5300000 ± 5400000,316600 ± 8900,0.1 ± 1.1,3230 ± 550,90000 ± 180000,81000 ± 3900,870 ± 610,7210 ± 400,0 ± 0.0E+0,0 ± 0.0E+0,0.1 ± 1.0,3220 ± 550,6 ± 11,-7000000 ± 13000000,0.039 ± 0.077,-4.97E-9 ± 0,
,,-,,,,,,,1195 ± 62,297 ± 30,381 ± 24,276 ± 13,698 ± 48,0 ± 0.0E+0,580 ± 660,4.2 ± 4.8,3430 ± 680,0 ± 0.0E+0,1.00E+0 ± 0,20 ± 62,0 ± 30,-2 ± 24,-4 ± 13,-3 ± 48,-0.0000089769 ± 0.0000000021,580 ± 660,4.2 ± 4.8,550 ± 680,-65000000 ± 74000000,20 ± 62,0 ± 30,-2 ± 24,-4 ± 13,-3 ± 48,-0.0000089769 ± 0.0000000021,580 ± 660,4.2 ± 4.8,550 ± 680,10000 ± 130000,75400 ± 7300,180 ± 540,6800 ± 590,300000 ± 5400000,327200 ± 6800,6000 ± 66000,71300 ± 6900,180 ± 540,6800 ± 590,300000 ± 5400000,327200 ± 6800,0.25 ± 0.67,2920 ± 540,10000 ± 160000,76700 ± 7400,220 ± 660,7000 ± 610,0 ± 0.0E+0,0 ± 0.0E+0,0.25 ± 0.66,2970 ± 530,-19 ± 39,-21000000 ± 24000000,0.12 ± 0.14,-5.00E-9 ± 0,
,,-,,,,,,,1162 ± 56,290 ± 31,404 ± 51,277 ± 13,656 ± 41,190 ± 390,0 ± 0.0E+0,0 ± 0.0E+0,2980 ± 410,0 ± 0.0E+0,1.00E+0 ± 0,-14 ± 56,-7 ± 31,18 ± 51,-5 ± 13,-50 ± 41,190 ± 390,-0.0001758548 ± 0.0000000082,-0.0239338 ± 0.0000011,80 ± 410,19.06 ± 0.47,-14 ± 56,-7 ± 31,18 ± 51,-5 ± 13,-50 ± 41,190 ± 390,-0.0001758548 ± 0.0000000082,-0.0239338 ± 0.0000011,80 ± 410,-100000 ± 290000,82900 ± 1600,230 ± 540,7380 ± 290,5500000 ± 4500000,324000 ± 15000,-50000 ± 140000,78400 ± 1600,230 ± 540,7380 ± 290,5500000 ± 4500000,324000 ± 15000,-0.07 ± 0.33,3120 ± 410,-130000 ± 360000,84200 ± 1600,280 ± 660,7580 ± 290,0 ± 0.0E+0,0 ± 0.0E+0,-0.07 ± 0.33,3180 ± 410,0.00000008 ± 0.00000096,6.24 ± 0.15,-3.76E-8 ± 0,0.11 ± 0.21,
,,-,,,,,,,1138 ± 66,321 ± 29,397 ± 35,287 ± 15,712 ± 53,0 ± 0.0E+0,220 ± 450,1.6 ± 3.2,3080 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,-40 ± 66,23 ± 29,8 ± 35,3 ± 15,1 ± 53,-0.0000092611 ± 0.0000000020,220 ± 450,1.6 ± 3.2,170 ± 440,-24000000 ± 48000000,-40 ± 66,23 ± 29,8 ± 35,3 ± 15,1 ± 53,-0.0000092611 ± 0.0000000020,220 ± 450,1.6 ± 3.2,170 ± 440,-50000 ± 200000,81600 ± 4600,-160 ± 630,7170 ± 560,-100000 ± 5700000,325100 ± 7500,-25000 ± 99000,77300 ± 4400,-160 ± 630,7170 ± 560,-100000 ± 5700000,325100 ± 7500,0.60 ± 0.42,3010 ± 670,-60000 ± 240000,83000 ± 4700,-190 ± 770,7330 ± 620,0 ± 0.0E+0,0 ± 0.0E+0,0.59 ± 0.42,3170 ± 610,-13 ± 26,-8000000 ± 16000000,0.047 ± 0.095,-5.07E-9 ± 0,
,,-,,,,,,,1143 ± 76,333 ± 48,427 ± 52,296 ± 18,691 ± 59,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2890 ± 110,0 ± 0.0E+0,1.00E+0 ± 0,-36 ± 76,34 ± 48,35 ± 52,9 ± 18,-26 ± 59,-0.0000094055 ± 0.0000000018,-0.0001769747 ± 0.0000000068,-0.02408218 ± 0.00000090,-40 ± 110,18.8161 ± 0.0028,-36 ± 76,34 ± 48,35 ± 52,9 ± 18,-26 ± 59,-0.0000094055 ± 0.0000000018,-0.0001769747 ± 0.0000000068,-0.02408218 ± 0.00000090,-40 ± 110,-200000 ± 300000,81600 ± 2100,-380 ± 760,7540 ± 300,2800000 ± 6300000,332400 ± 6800,-100000 ± 150000,77100 ± 2100,-380 ± 760,7540 ± 300,2800000 ± 6300000,332400 ± 6800,0.43 ± 0.49,2840 ± 800,-240000 ± 360000,82900 ± 2100,-460 ± 920,7730 ± 300,0 ± 0.0E+0,0 ± 0.0E+0,0.43 ± 0.48,2820 ± 800,0.0000007 ± 0.0000013,6.20571 ± 0.00065,-3.75E-8 ± 0,-5.10E-9 ± 0,
,,-,,,,,,,1182 ± 61,291 ± 35,460 ± 31,306 ± 16,770 ± 49,0 ± 0.0E+0,210 ± 420,1.5 ± 3.0,3220 ± 440,0 ± 0.0E+0,1.00E+0 ± 0,1 ± 61,-8 ± 35,66 ± 31,18 ± 16,48 ± 49,-0.0000095371 ± 0.0000000020,210 ± 420,1.5 ± 3.0,280 ± 440,-22000000 ± 44000000,1 ± 61,-8 ± 35,66 ± 31,18 ± 16,48 ± 49,-0.0000095371 ± 0.0000000020,210 ± 420,1.5 ± 3.0,280 ± 440,-370000 ± 170000,78100 ± 8100,-710 ± 650,6450 ± 650,-5000000 ± 5100000,330200 ± 5400,-187000 ± 86000,73900 ± 7700,-710 ± 650,6450 ± 650,-5000000 ± 5100000,330200 ± 5400,0.30 ± 0.53,3070 ± 490,-460000 ± 210000,79400 ± 8200,-860 ± 790,6640 ± 660,0 ± 0.0E+0,0 ± 0.0E+0,0.29 ± 0.53,3050 ± 490,-3.3 ± 6.7,-7000000 ± 14000000,0.044 ± 0.088,-5.13E-9 ± 0,
,,-,,,,,,,1213 ± 66,293 ± 32,418 ± 41,301 ± 15,850 ± 180,0 ± 0.0E+0,230 ± 460,1.7 ± 3.3,3310 ± 500,0 ± 0.0E+0,1.00E+0 ± 0,31 ± 66,-7 ± 32,21 ± 41,11 ± 15,120 ± 180,-0.0000096795 ± 0.0000000020,230 ± 460,1.6 ± 3.3,360 ± 500,-24000000 ± 47000000,31 ± 66,-7 ± 32,21 ± 41,11 ± 15,120 ± 180,-0.0000096795 ± 0.0000000020,230 ± 460,1.6 ± 3.3,360 ± 500,-130000 ± 230000,82200 ± 5300,-440 ± 630,6770 ± 610,-13000000 ± 18000000,324700 ± 5500,-60000 ± 110000,77900 ± 5000,-440 ± 630,6770 ± 610,-13000000 ± 18000000,324700 ± 5500,0.26 ± 0.47,2850 ± 670,-150000 ± 280000,83500 ± 5400,-540 ± 770,6960 ± 620,0 ± 0.0E+0,0 ± 0.0E+0,0.26 ± 0.46,2840 ± 670,-2.2 ± 4.4,-8000000 ± 16000000,0.048 ± 0.097,-5.16E-9 ± 0,
,,-,,,,,,,1179 ± 66,296 ± 34,384 ± 23,299 ± 13,771 ± 53,0 ± 0.0E+0,450 ± 640,3.3 ± 4.6,3380 ± 660,0 ± 0.0E+0,1.00E+0 ± 0,-5 ± 66,-5 ± 34,-16 ± 23,6 ± 13,39 ± 53,-0.0000098247 ± 0.0000000020,450 ± 640,3.3 ± 4.6,420 ± 660,-46000000 ± 65000000,-5 ± 66,-5 ± 34,-16 ± 23,6 ± 13,39 ± 53,-0.0000098247 ± 0.0000000020,450 ± 640,3.3 ± 4.6,420 ± 660,90000 ± 120000,78400 ± 5800,-240 ± 520,6690 ± 590,-4000000 ± 5400000,329300 ± 5200,47000 ± 60000,74100 ± 5500,-240 ± 520,6690 ± 590,-4000000 ± 5400000,329300 ± 5200,-0.02 ± 0.83,2790 ± 600,120000 ± 150000,79600 ± 5900,-290 ± 630,6870 ± 600,0 ± 0.0E+0,0 ± 0.0E+0,-0.02 ± 0.82,2770 ± 600,-0.2 ± 2.6,-15000000 ± 22000000,0.09 ± 0.13,-5.19E-9 ± 0,
