Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1280 ± 250,320 ± 130,420 ± 130,271 ± 33,800 ± 220,0 ± 0.0E+0,5300 ± 6700,38 ± 48,8400 ± 6500,0.11 ± 0.15,1.00E+0 ± 0,-70 ± 440,50 ± 190,-40 ± 160,36 ± 13,10 ± 120,-8.29E-6 ± 0,15844.3798273093 ± 0.0000000016,114.97648557 ± 0.00000021,15890 ± 290,-1911286000 ± 93000,110 ± 250,30 ± 130,50 ± 130,0 ± 33,130 ± 220,-8.29E-6 ± 0,5300 ± 6700,38 ± 48,5600 ± 6500,-0.0026 ± 0.0099,-17 ± 64,0.31 ± 0.11,275 ± 84,-1000000 ± 15000000,3.16E+5 ± 0,-0.0026 ± 0.0099,-17 ± 64,0.31 ± 0.11,275 ± 84,-1000000 ± 15000000,3.16E+5 ± 0,0.5 ± 1.4,-,-0.00014 ± 0.00051,-0.9 ± 3.3,0.118 ± 0.041,113 ± 37,0 ± 0.0E+0,0 ± 0.0E+0,0.5 ± 1.4,-,3000 ± 11000,-675321000 ± 25000,nan,nan,
,,-,,,,,,,1188 ± 56,318 ± 31,397 ± 55,267 ± 13,657 ± 43,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3010 ± 370,0.0024 ± 0.0049,1.00E+0 ± 0,-1.06E+2 ± 0,-1.07E+2 ± 0,9.65E+1 ± 0,1.53E+1 ± 0,-2.43E+2 ± 0,-8.41E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.56E+4 ± 0,-1.88E+9 ± 0,19 ± 56,24 ± 31,25 ± 55,-5 ± 13,-23 ± 43,-0.0000084078 ± 0.0000000022,180 ± 360,1.3 ± 2.6,170 ± 370,6.09E-3 ± 0,3.91E+1 ± 0,1.33E-1 ± 0,1.27E+2 ± 0,2.89E+7 ± 0,3.47E+5 ± 0,6.09E-3 ± 0,3.91E+1 ± 0,1.33E-1 ± 0,1.27E+2 ± 0,2.89E+7 ± 0,3.47E+5 ± 0,1.59E-1 ± 0,2.44E+3 ± 0,3.14E-4 ± 0,2.02E+0 ± 0,5.04E-2 ± 0,5.00E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,1.58E-1 ± 0,2.43E+3 ± 0,3.19E+3 ± 0,-6.68E+8 ± 0,nan,nan,
,,-,,,,,,,1183 ± 71,285 ± 30,457 ± 54,287 ± 15,677 ± 55,0 ± 0.0E+0,210 ± 430,1.6 ± 3.1,3110 ± 440,0.0029 ± 0.0058,1.00E+0 ± 0,-1.08E+2 ± 0,1.42E+2 ± 0,-1.56E+2 ± 0,-2.44E+1 ± 0,-2.48E+2 ± 0,-8.56E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.55E+4 ± 0,-1.85E+9 ± 0,13 ± 71,-10 ± 30,82 ± 54,13 ± 15,-8 ± 55,-0.0000085541 ± 0.0000000020,210 ± 430,1.5 ± 3.1,260 ± 440,-9.88E-3 ± 0,-6.40E+1 ± 0,-2.12E-1 ± 0,-2.42E+2 ± 0,2.90E+7 ± 0,3.47E+5 ± 0,-9.88E-3 ± 0,-6.40E+1 ± 0,-2.12E-1 ± 0,-2.42E+2 ± 0,2.90E+7 ± 0,3.47E+5 ± 0,1.56E-1 ± 0,2.41E+3 ± 0,-5.07E-4 ± 0,-3.27E+0 ± 0,-7.99E-2 ± 0,-8.46E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,1.55E-1 ± 0,2.40E+3 ± 0,-1.97E+3 ± 0,-6.59E+8 ± 0,nan,nan,
,,-,,,,,,,1152 ± 69,309 ± 35,410 ± 40,279 ± 14,657 ± 44,230 ± 450,0 ± 0.0E+0,0 ± 0.0E+0,3030 ± 460,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-20 ± 69,13 ± 35,32 ± 40,2 ± 14,-34 ± 44,230 ± 450,-0.0001742433 ± 0.0000000075,-0.0237202 ± 0.0000010,170 ± 460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1183 ± 58,293 ± 32,368 ± 25,263 ± 12,743 ± 48,0 ± 0.0E+0,180 ± 360,1.3 ± 2.6,3030 ± 370,0.0024 ± 0.0049,1.00E+0 ± 0,2.64E+2 ± 0,-2.34E+2 ± 0,2.57E+1 ± 0,8.42E+1 ± 0,-8.39E+0 ± 0,-8.84E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.60E+4 ± 0,-1.79E+9 ± 0,9 ± 58,-4 ± 32,-12 ± 25,-16 ± 12,47 ± 48,-0.0000088356 ± 0.0000000022,180 ± 360,1.3 ± 2.6,160 ± 370,1.62E-3 ± 0,1.04E+1 ± 0,7.32E-1 ± 0,5.58E+2 ± 0,9.49E+5 ± 0,2.78E+5 ± 0,1.62E-3 ± 0,1.04E+1 ± 0,7.32E-1 ± 0,5.58E+2 ± 0,9.49E+5 ± 0,2.78E+5 ± 0,3.28E+0 ± 0,-,8.28E-5 ± 0,5.34E-1 ± 0,2.75E-1 ± 0,2.47E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,3.26E+0 ± 0,-,1.21E+4 ± 0,-6.44E+8 ± 0,nan,nan,
,,-,,,,,,,1195 ± 62,297 ± 30,381 ± 24,276 ± 13,698 ± 48,0 ± 0.0E+0,580 ± 660,4.2 ± 4.8,3430 ± 680,0.0078 ± 0.0089,1.00E+0 ± 0,160 ± 480,60 ± 150,-10 ± 180,7 ± 38,10 ± 510,-0.0000089688 ± 0.0000000085,15844.379824702 ± 0.000000033,114.9761401 ± 0.0000043,16100 ± 1100,-1766600000 ± 1700000,20 ± 62,0 ± 30,-2 ± 24,-4 ± 13,-3 ± 48,-0.0000089769 ± 0.0000000021,580 ± 660,4.2 ± 4.8,550 ± 680,-0.001 ± 0.011,-4 ± 73,0.06 ± 0.33,30 ± 350,-1000000 ± 57000000,339000 ± 33000,-0.001 ± 0.011,-4 ± 73,0.06 ± 0.33,30 ± 350,-1000000 ± 57000000,339000 ± 33000,-1.2 ± 2.8,2420 ± 560,-0.00003 ± 0.00058,-0.2 ± 3.7,0.02 ± 0.12,20 ± 130,0 ± 0.0E+0,0 ± 0.0E+0,-1.2 ± 2.7,2410 ± 560,-13000 ± 26000,-636660000 ± 440000,nan,nan,
,,-,,,,,,,1162 ± 56,290 ± 31,404 ± 51,277 ± 13,656 ± 41,190 ± 390,0 ± 0.0E+0,0 ± 0.0E+0,2980 ± 410,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-14 ± 56,-7 ± 31,18 ± 51,-5 ± 13,-50 ± 41,190 ± 390,-0.0001758548 ± 0.0000000082,-0.0239338 ± 0.0000011,80 ± 410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1138 ± 66,321 ± 29,397 ± 35,287 ± 15,712 ± 53,0 ± 0.0E+0,220 ± 450,1.6 ± 3.2,3080 ± 440,0.0030 ± 0.0060,1.00E+0 ± 0,-4.28E+2 ± 0,1.43E+1 ± 0,-1.42E+1 ± 0,-8.47E+1 ± 0,-1.49E+2 ± 0,-9.27E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.52E+4 ± 0,-1.71E+9 ± 0,-40 ± 66,23 ± 29,8 ± 35,3 ± 15,1 ± 53,-0.0000092611 ± 0.0000000020,220 ± 450,1.6 ± 3.2,170 ± 440,-8.93E-4 ± 0,-5.76E+0 ± 0,-7.37E-1 ± 0,-1.36E+3 ± 0,1.61E+7 ± 0,3.35E+5 ± 0,-8.93E-4 ± 0,-5.76E+0 ± 0,-7.37E-1 ± 0,-1.36E+3 ± 0,1.61E+7 ± 0,3.35E+5 ± 0,5.99E+0 ± 0,-,-4.53E-5 ± 0,-2.92E-1 ± 0,-2.75E-1 ± 0,-3.26E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,5.95E+0 ± 0,-,-2.21E+4 ± 0,-6.22E+8 ± 0,nan,nan,
,,-,,,,,,,1143 ± 76,333 ± 48,427 ± 52,296 ± 18,691 ± 59,0 ± 0.0E+0,0 ± 0.0E+0,0 ± 0.0E+0,2890 ± 110,0 ± 0.0E+0,-,-,-,-,-,-,-,-,-,-,-,-36 ± 76,34 ± 48,35 ± 52,9 ± 18,-26 ± 59,-0.0000094055 ± 0.0000000018,-0.0001769747 ± 0.0000000068,-0.02408218 ± 0.00000090,-40 ± 110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nan,nan,
,,-,,,,,,,1182 ± 61,291 ± 35,460 ± 31,306 ± 16,770 ± 49,0 ± 0.0E+0,210 ± 420,1.5 ± 3.0,3220 ± 440,0.0028 ± 0.0056,1.00E+0 ± 0,2.57E+2 ± 0,-1.12E+2 ± 0,-5.10E+1 ± 0,4.86E+1 ± 0,3.40E+2 ± 0,-9.55E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.64E+4 ± 0,-1.66E+9 ± 0,1 ± 61,-8 ± 35,66 ± 31,18 ± 16,48 ± 49,-0.0000095371 ± 0.0000000020,210 ± 420,1.5 ± 3.0,280 ± 440,-3.22E-3 ± 0,-2.08E+1 ± 0,4.23E-1 ± 0,3.58E+2 ± 0,-3.56E+7 ± 0,-,-3.22E-3 ± 0,-2.08E+1 ± 0,4.23E-1 ± 0,3.58E+2 ± 0,-3.56E+7 ± 0,-,-9.54E-1 ± 0,-,-1.62E-4 ± 0,-1.05E+0 ± 0,1.57E-1 ± 0,1.48E+2 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,-9.48E-1 ± 0,-,-6.16E+3 ± 0,-6.08E+8 ± 0,nan,nan,
,,-,,,,,,,1213 ± 66,293 ± 32,418 ± 41,301 ± 15,850 ± 180,0 ± 0.0E+0,230 ± 460,1.7 ± 3.3,3310 ± 500,0.0031 ± 0.0062,1.00E+0 ± 0,1.30E+2 ± 0,7.49E+1 ± 0,-8.50E+1 ± 0,-1.59E+1 ± 0,-3.99E+1 ± 0,-9.69E-6 ± 0,1.58E+4 ± 0,1.15E+2 ± 0,1.60E+4 ± 0,-1.63E+9 ± 0,31 ± 66,-7 ± 32,21 ± 41,11 ± 15,120 ± 180,-0.0000096795 ± 0.0000000020,230 ± 460,1.6 ± 3.3,360 ± 500,-5.36E-3 ± 0,-3.47E+1 ± 0,-1.38E-1 ± 0,-1.51E+2 ± 0,4.11E+6 ± 0,3.08E+5 ± 0,-5.36E-3 ± 0,-3.47E+1 ± 0,-1.38E-1 ± 0,-1.51E+2 ± 0,4.11E+6 ± 0,3.08E+5 ± 0,1.87E-1 ± 0,2.72E+3 ± 0,-2.70E-4 ± 0,-1.74E+0 ± 0,-5.12E-2 ± 0,-5.34E+1 ± 0,0 ± 0.0E+0,0 ± 0.0E+0,1.86E-1 ± 0,2.71E+3 ± 0,-3.70E+3 ± 0,-6.02E+8 ± 0,nan,nan,
,,-,,,,,,,1179 ± 66,296 ± 34,384 ± 23,299 ± 13,771 ± 53,0 ± 0.0E+0,450 ± 640,3.3 ± 4.6,3380 ± 660,0.0061 ± 0.0086,1.00E+0 ± 0,220 ± 440,-110 ± 120,20 ± 410,7 ± 25,210 ± 130,-0.0000098237 ± 0.0000000081,15844.379821419 ± 0.000000031,114.9757050 ± 0.0000041,16249.5 ± 7.0,-1612900000 ± 1300000,-5 ± 66,-5 ± 34,-16 ± 23,6 ± 13,39 ± 53,-0.0000098247 ± 0.0000000020,450 ± 640,3.3 ± 4.6,420 ± 660,0.001 ± 0.026,10 ± 170,0.06 ± 0.22,60 ± 210,-21000000 ± 13000000,-,0.001 ± 0.026,10 ± 170,0.06 ± 0.22,60 ± 210,-21000000 ± 13000000,-,0.058 ± 0.058,1.36E+3 ± 0,0.0001 ± 0.0013,0.4 ± 8.3,0.023 ± 0.080,22 ± 79,0 ± 0.0E+0,0 ± 0.0E+0,0.058 ± 0.058,1.35E+3 ± 0,-200 ± 3100,-596240000 ± 350000,nan,nan,
